municipio,juros,salarios,terras,transporte
Maceió,A taxa éde 12 a 18annuaes.,"Cozinheiro, 50$00 nensaes; as lavadeiras ganham por duzia de pecas, raramente por mez (10$000) ; carpinteiro, 3$000 a 6$000 diarios; administrador de fazenda, 50$00 mensaes; nao ha escrivaes de fazenda; o salario do trabalhador seja msrador ou camarada é de 6oo a Soo réis diarios. Os salarios sao pagos e os contractos cumpridos.","Qualidades-O municipic possue terras..boas, regulares. e inferiores; mais ou menos planas e seccas; havendo tambem argillosas, arenosas, misturadas, pedregosas e pantanosas. A vegetacao é representada por boas mattas, grandes capoeiras, cerrados e carrascaes. TERAS- Precos- Um hectare de terra boa custa 50$000, approximadanente.",Os precos variam conforne a conduccao e distancia.
Maragogy,"A taxamais commum ede 24""ao anno.","Um trabalhador rural ganha 8oo reis por dia; cmpregalos domesticos, 10$000 mensaes; carpinteiro, 3$000 por dia;.adnminis- trador de fazenda.60$000 mensaes; nao ha escrivaes de fazenda. Os salarios sao pagos e os contractos cumpridos.","Qualidades-As terras sao em grande parte boas e regulares, silico-argillosas, principalmente para o centro do municipio. No littoral predominam as terras arenosas, que apezar disso sao ferteis, produzindo bem, canna e cereaes. Ha muita terra monta- nhosa e alguma pantanosa. Existen muitas mattas, capoeiras e cerrados; poucos carrascaes e campos. Precos -E' muito variavel o preco das terras.",Para o mercado local paga-se de 5oo réis a 1$200 por carga de 16o litros; em geral esse transporte é feito pelo productor. Para Macei6 o sacco de assucar paga 70o réis.
Muricy,"A taxa éde 12a 18[ao anmo,sendo esta ultima amais usada.","Trabalhador rural, 6oo a 7oo réis diarios; administradores de fazenda, 50$000 a 100$000 mensaes; escrivaes de fazenda nao ha; carpinteiro, 2$000 a 3$500 diarios; lavadeiras, 6$000 mensaes ou por peca de roupa. Nao. ha cosinheiros. Os salarios sao pagos e os contractos cumpridos.","Qualidades -Ha no municipio, boas, regulares e inferiores; ora argillosas, ora arenosas, ora misturadas. Em algumas partes sao planas, em outras montanhosas; umas sao seccas, outras pantanosas. Sua vegetacao é representada por mattas virgens, capoeiras, cerrados e alguns campos. Nao ha carrascaes. Preco das terras é muito variavel.","Para Macei6 6o litros de cereaes,pagam 25o réis e 1o kilos de assucar 78 réis."
Palmeira dos Indios,A taxa é de r8 a 24 por cento ao anno.,"Trabalhador rural 1$000 mais ou menos,diarios;administrado dores de fazenda e escrivaes nao ha; carpinteiro,de 2$000 a 3$000 diarios ; as lavadeiras cobram por peca; cozinheiros, 5$000 nensaes.","Qualidades - Predominam as boas e regulares; ha nuitas seccas. algumas misturadas e argillosas; existem arenosas c pedlregosas mas nao patanosas. A vegetacao é representada por capociras, cer- rados, campos e alguns carrascaes; nao la mattas virgens Precos - Um hectare de terra böa custa mais ou menos 30$000.","Por uma carga de 1co litros, pagam 2$000 para a cstaqao victoria ou Quebrangulo"
Pao de Assucar,"Taxa de 12 a 24""j annuaes, sendo esta ultima.muito conunum.","Trabalhador rural, 1$000 diarios; carpinteiro, 3$000 : cozinheiro, 10$000 mensaes ; lavadeira, 10$000 mensaes; nao ha administrador nem escrivaes de fazenda. Os salarios sao pagos e os contractos cumpridos.","Qualidades-Ha boas,regulares e inferiores,argillosas c arenosas e outras misturadas; ha muitas planas; algumas montanhosas e pedregosas; muitas séccas e poucas pantanosas. Nao ha mattas virgens, porém alguns cerrados e nuitos carrascaes e campos. Precos-O preco das terras varia segundo a qualidade e outras circumstancias especiaes.","Pagam 1$000 a 2$000 para carga de I6o litros,dentro do municipio ou para a cidade."
Passo de Camaragibe,"A taxa geral e de 24""1 ao anno.","O trabalhador rural ganha de 8oo réis n 1$000 por dia; cozinheira,10$000 mensaeslavadlcira,5$000 mensaes;carpinteiro 3$000 por dia; administrador dlc fazenda, 600$000 a 1:200$000 annuaes. Nao ha escrivaes de fazenda. Os salarios sao pagos e os contractcs cumpridos.","Qualidades--Sao na maioria boas, unas.argillosas c outras misturadas, sendo as do alto Camaragibe geralmente montanhosas, em contraste com as do. baixo Camaragibe, que tém extensas varzeas. Existem algumas terras pantanosas, principalncnte na cidade,a foz do rio. A vegetacao é representada por algunas mattas, capaeiras, cerrados e muito poucos carrascaes e campos. Precos-Sao muito variaveis.","Para o mercado local paga-se por carga de 1oo litros, de 6oo réis a 3$000, conforme a distancia. Para Maceio, em barcaca, paga-se 64o réis por sacco de assucar, com 75 k:los."
Paulo Affonso,"Taxa de 24 °"" e mais ao anno.","Trabalhador rural, 1$000 diarios; nao ha escrivaes nem admi nistradores.de fazenda, nmas ha, dirigindo as fazendas de criar, vaqueiros que ganhan, de cada quatro crias, uma; carpinteiro, 3$000 diarios; cozinheiro, 8$000 mensaes; lavadeira ganha por peca, a.razao de 2oo réis a duzia. Os salarios sao pagos c os contractos cumpridos.","Qualidades-Ha muitas terras boas e regulares, e algumas infe riores; ha mais argillosas que arenosas e misturadas. Ha terras frescas e montanhosas. A vegetacao é representada por capoeiras, cerrados, carrascaes e campos. Nao ha matta virgem. Precos-E'muito variavel.","Para o mercado local pagam de 1$000 a 3$000 por carga de 16o litros; para fóra do municipio, conforne a distancia, de 4$000 a 14$000 por carga de 16o litros."
Penedo,O juro geralmente pago pelos agricultores aos prestamistas & de 12 por cento.,"Trabalhador rural, 9oo réis diarios; administrador de fazenda, 840$000 annuaes; carpinteiro, 3$000 diarios; lavadeira, 20o réis por duzia de pecas de roupa; cozinheira, 15$000 mensaes. Nao ha escrivaes de fazenda. Os salarios sao pagos c. os contractos cum- pridos.","Qalidades - As terras em geral sao regulares; algumas sao argil losas, outras arenosas e misturadas. O solo na maior parte € plano pedregoso; secco em varios pontos e pantanoso em outros. Os terrenos montanhosos sao poucos. Preco -- O preco do hectare de terra boa varia conforme a cultura a que é destinada. Assim, por exemplo, para o plantio do arroz compra-se uma tarefa de terra tendo 25 por 25 bracas,. desde 50$000 até100$000.",O custo do transporte varia com a distancia.(Vide nota)
Piassabussu,"12""aanno.","Trabalhador rural &oo réis diarios;administrador de fazenda 600$000 por anno; nao ha escrivaes dle fazendla ; carpinteiro, 3$000 diarios; cozinheiro, 8$000 mensaes, e lavadeira, 6$000. Os salarios sao pagcs e os contractos cumpridos.","Qualidades -A maior parte, boas e regulares, inferiores algumas. Em geral baixas, e em grande parte pantanosas, especialmente na margem dos rios e riachos, que facilmente ficam alagadas, no tempo das chuvas ou inverno. Argillosas e arcnosas, muitas; misturadas, algumas; planas, a maior parte. Nao ha mattas virgens; existem muitas capoeiras, alguns cerrados e poucos carrascaes. Ha muitos cainpos. Precos -Para o plantio do arroz, custa, em média, 100$000, uma tarefa de terra, ou um quadrado de 25 bracas por.25. Ha terrenos dos quaes um hectare, custa, as vezes, 5$000 e menos. Para o plantio do coqueiro, tm hectare, vale, em média, 80$000.","Para Penedo, em canoa, paga um sacco de cereal, 1oo réis. Em costa de animal, paga 1$000, por cargueiro."
Pilar,"2"" ao mez. e raramente 1 /, no municipio; na Capital I a me:o, con garantia.","Trabalhadcr rural,de 8ooreis a Itooo por dia; cozinheira, 8$000 a 12$000 mensaes; as 1avadeiras, cobran por peqa a razao de 2oo réis por duzia, sem sabao, ou reccben S$000 mensalmente; carpinteiro, 2$000 por dia, feitores dos cngenios, de 50$000 a 60$000 mensaes com casa para morar. Nao ha escrivaes de fazenda. Os salarios sao pagos e os contractos cumpridos.","Qualidades--Ha muitas terras boas c regulares c algumas inferiors; umas sao argillosas, outras arenosas,outras misturadas; umas planas e outras montanhosas e algunas pedregosas,seccas e outras pantanosas. Nao ha mattas virgens. existem muitas capoeiras e cerrados, havendc poucos carrascaes; existem campos. Precos -Os precos variam com as terras, extcnses, regies, etc.",".O assucar para Macei6 paga enm barcaca ou canoa. 55o reis por sacco de go kilos; os cercaes por sacco de 1oo litros, pagam dc 8oo a 1$000."
Piranhas,Taxa de 1o°[a 18°ao anno.,"Trabalhador rurai,1$000 diarios; nao ha adninistradores nem escrivaes de fazenda; carpinteiro,3$000 diarios; cozinhcira,10$000 mensaes; lavadeiras lavam por peca a razao de 24o réis a duzia. Os salarios sao pagos e os contractos cumpridos.","Qualidades-Ha algunas terras boas e regulares e muitas inferiores. Ha muitas arenosas, algumas argillosas e misturadas.Ha monta nhosas, planas e.pedregosas. A vegetacao é representada por capoeiras, cerrados, carrascaes e campos; nao ha mattas virgens. menos. Precos - Um hcctare de terra böa p6de se comprar por 20$000 e até","Varian com as distancias, com o peso, etc. 6/"
Porto Calvo,Variave1 de 12 a 24 por cento ao anno.,"Trabalhador rural de 7oo réis a 1$000 por dia; emprcgados domesticos, de 5$000 a 10$000 mensaes; carpinteiro, 3$000 diarios ; administradores de fazenda, de 600$000 .a 1 :000$000. Nao ha cs-","Qualidades-Na maioria boas c regulares; argillo-silicosas c geralmente montanhosas. Existem algumas mattas, muitas capoci- ras, cerrados e poucos campos. Precos -- Muito variavel.","Para o mercado local paga-se 4oo réis.por carga e por legua. Para Macei6 ou Recife paga-se, em barcacas, 8oo réis por sacca de go kilos."
Porto de Pedras,"A taxa é de 18 a 24"" ao anno.","Trabalhador rural, de 6oo a 8oo réis diarios; administrador de fazenda, de 70$000 a 100$000 mensaes ; nao ha escrivaes de fazenda ; carpinteiro, 3$000 diarios; lavadeira, .de 4$000 a 5$000 mensaes; cozinheira, de 8$000 a 10$000 mensaes. Os salarios sao pagos e os contractos_cumpridos.","Qualidades-O municipio é no geral plano, possue terras boas, regulares e inferiores, argillosas, arenosas e misturadas. A vegetacao é representada quasi que exclusivamente por capoeiras e carrascaes. Precos-Um hectare de terra boa custa de 50$000 a 100$000,","Pagam de transporte maritimo 7oo réis por um sacco de cereaes ou de assucar, com So a go kilos,do porto da villa ao de Macei6, e para o mercado local, de 1$000 a 1$600 por una carga de 16o litros, variando o preco de accordo con a distancia."
Porto Real do Collegio,"Taxade24,aoanno.","Um tarbalhador rural, ganha 1$000 c as mulheres 6oo: réis, nas culturas de arroz. Nao ha adnministradores, nem escrivaes de fazenda; carpinteiro, 1$500 a 3$000, diarios; cozinheira, 10$000 mensaes; lavadcira é paga pcr peqa, a razao de 24o a 30o réis a duzia. Os salarios sao pagos e os contractos cunpridos.","Qualidades-Sao boas em geral, quasi em sua totalidade planas, havendo para o centro do municipic algumas elevacöes do terreno, alguns morros baixos, e todos elles de boas terras. Nos limites com o municipio de Triunpho, ha a serra da Maraba, cm cuja encosta se fazem plantacoes, por serem as terras ahi tmuito boas. Precos-O preco da terra varia, confcrme a cspecie da cultura. Nas terras alagadas, nos lamacaes,nas margens das lagoas, todos lugares proprios para o arroz, o preco de uma tarefa .é 50$000. As terras seccas sao todas em commum; compra-se a posse de uma certa porcao de terreno, que nem sempre se diz cnde comeca c acaba, porque a area nao esta determinada, e planta-se e solta-se gado a vontade. E' o reginen da terra indivisa, sujeito a tantes accidentes sanguinarios.","O sacco de cereal, paga de 5oo réis a 2$000, conforme a distancia. O algodao de transporte de cana, 4o réis por arroba."
Sant'Anna de Ipanema,Nao ha emprestimos.,"Trabalhador rural, 1$000 por dia; nao ha administradores, nem escrivaes de fazendla. Carpinteirc, 3$000 diarios : cozinheira, 8$000 mensaes; lavadeira é paga por peca, a razao de 3co a 4oo réis a duzia. Os salarios sao pagos e os contractos cumpridos.","Qualidades-Na maioria boas; ha misturadas em grande quanti dade, bem como argillosas. Existem algunas arenosas, bem como pedregosas. Ha poucas. nmontanhosas, sendo quasi todas planas. Ha grande quantidade de capoeiras e alguns cerrados e carrascaes, nao ha mattas virgens. .. Precos - O hectare de terra pode custar cm média, 20$000.",Vide nota.
Santa Luzia do Norte,12 é a taxaminima uzual.,"Trabalhador rural, 6oo réis a 1$000 diarios; administrador de fazenda, 50$000 a 100$000 mensaes; escrivaes de fazenda nao ha, carpinteiro, 2$000 a 5$000 diarios; cozinheira, 10$000 a 15$000 mensaes e lavadeira, 8$000 mensaes, em média. Os salarios sao pagos e os contractos cumpridos.","Qualidades-As terras do municipio sao de qualidades muito variadas; ha boas, regulares e inferiores; algunas sao argillosas, outras arenqsas e cutras misturadas; ora sao planas, ora accidentadas, algumas sao pedregosas e seccas, outras pantanosas. Precos - O preco das terras é muito variavel.","O preco do transporte ao mercado local depende da distancia do meio de transporte, etc."
Sao Braz,A taxa de 24ao anno.,"Trabalhador rural, 1$000 a 1$200, por dia; nao ha administra dores, nem escriv&es de fazenda; ha vaqueiros cncarregados de administral-as, ganhando conforme o..contracto feito; carpinteiro, 3$000, diarios; cosinheira, 10$000, mensaes; lavadeiras sao pagas por peca a razao de 2o.réis cada uma. Os salarios sao pagos e os contractos cumpridos.","Qualidades- Ha terras boas c regulares, poucas inferiores; muitas argillosas, misturadas e pedregosas; poucas arenosas; mais planas do que montanhosas. Nao ha mattas virgens, porén; muitas capoeiras, cerrados e campos. Precos-Os precos variam, conforme a plantacao a que a terra é destinada; uma tarefa de 25X25 bracas, para arroz, custa em média, 25$000. Terra sécca para algodao ou cereaes, com 5o bracas de frente e uma legua de fundo, custa em niédia, 200$000.","A carga de 12o litros, custa de 1$000 a 3$000, confornme a distancia. Para o sertao, um sacco de cereaes, rio acima, paga 4oo réis (saccos de 1oo litros). Para Penedo, cm canoa, um sacco -de cereaes, paga 160 réis. As canöas carregam de 10o a 200 saccos."
S. José da Lage,"A taxa é de 18 a 25 ""["" ao anno e as vezes mais.","Nao ha cozinheiro; as lavadeiras ganham por peca; um carpinteiro ganha de 2$000 a 3$000 diarios; um vaqueiro, de 480$000 a 600$000 annuaes; administrador de fazenda, de 600$000 a 850$000 annuaes; nao ha escrivaes de fazenda; o salario do trabalhador rural seja colono ou camarada é de 6oo a 8oo réis diarios. Os salarios sao pagos e os contractos cumpridos.","Qualidades-No municipio predominam as boas e regulares; sao mais planas que montanhosas; ha argillosas, arenosas, mistu- radas, pedregosas, séccas e pantanosas. A vegetacao é representada por mattas virgens, capoeiras, cerrados, carrascaes e campos. Precos - Um hectare de terra boa custa approximadamente 200$000.","Pagam pelo transporte de I6o litros de cereaes para 'o mercado local,de 1$000 a 2$500, conforne a distancia, e de frete na estrada de ferro, para a capital. por 1o litros de cereal, 85 réis, por 1o kilos de assucar, 125 réis."
Sao Luiz do Quitunde,"I / a 2"" ao mez,as vezes mais.","Trabalhador rural,de 8oo réis a 1$200 por dia;nao ha escrivaes de fazenda; administrador,de 30$000 a 100$000 por mez; carpin- teird, de 2$000 a 3$000 por dia; 1avadeira, de 5$000 a 6$000 mensaes; cozinheira,de 6$000 a 10$000 nensaes.Os.salarios sao pagos com regularidade.","Qualidades -Ha boas, regulares e inferiores. As arenosas encon tram-se en uma extensao de cerca de.nove leguas, na parte do limite sul, e vao. até a fóz do rio Santo Antonio Grande, e dahi até o limite com Camaragibe. Ha tamben argillosas e misturadas, planas, montanhosas e pedregosas. A vegetacao é representada por böas mattas (nao propriamente mattas virgens), capoeiras, cerrados e carrascacs. Nao ha campos. Precos -- As terras sao vendidas, mais cu menos a 3$000 o hectarc. quando devolutas.","O litro de cereal paga de transporte, de Io a 2o réis, segundo a distancia."
S. Miguel de Campos,"18 a 24"" annuaes.","Trabalhador rural, ganha de 6oo réis a goo réis, por dia; administrador, 50$000 a 80$000 mensaes; nao ha escrivaes de fazendas; carpinteiro, 2$000 a 3$000 diarios; cosinheiro,6$000 a .10$000 mensaes; lavadeira, 7$000 mensaes. Os salarios sao pagos e os contractos cumpridos.","Qualidades-Em geral boas, especialmente nas varzeas e encostas dos morros; geralmente argillosas ou misturadas, quer no. valle do rio S. Miguel, quer no do Jequia; em sua maioria planas. A vegetacao é representada por algumas mattas virgens, capoeiras, cerrados, carrascaes e campos.","E' feito em canoas, pagando-se goo réis a 1$200 por 12o a r6o kilos. Um sacco de assucar ou cereaes, paga, até Maceió, 8oo réis."
Traipu,"A taxa usual é de I e 1 / a 2 """",ao mez.","Cozinheira ganha 10$000 mensaes; lavadeiras, 20o réis, por duzia de pecas lavadas; carpinteiro, 2$000 diarios; trabalhador rural, 1$000 diarios. Nao ha administrador nem cscrivaes de fazenda. Os salarios sao pagos e os contractos cumpridos.","Qualidades-No geral boas, havendo algumas regulares. e inferiores; a maior parte misturadas, böa parte argillosas, poucas ha muitas capoeiras e campos, alguns cerrados e carrascaes. Precos -O preco das terras é muito variavel. (Vide nota).","O transporte para Penedo é feito em canoas, pagando: o algodao 20o réis por sacco de 75 a go kilos; os cereaes, 20o réis por sacco de 8o litros."
Triumpho,"Pagam 18 e 24 ,ao anno.","Um trabalhador rural,ganha de 70o réis a 1$200 diarios; uma carpinteiro, 2$500 diarios; nao ha administradores nem escrivaes; cozinheira, 6$000 mensaes; lavadeira, 2oo réis por duzia de pecas; de fazenda. Os salarios sao pagos e os contractos cumpridos.","Qualidades-Ha terras boas, regulares e algumas inferiores; muitas argiliosas, poucas misturadas. Ha muitas planas e poucas montanhosas e pedregosas; ha muitas séccas e grande porcao de alagadicos, junto ao canal de Boa Sica, mattas virgens, muito poucas, ja devastadas e longe da cidade; muitas capoeiras, alguns cerrados, carrascaes e campos. Precos -Uma tarefa para arroz custa 25$000.","Ao mercado local os productores levam os generos por conta propria, os que nao tem animaes pagam 2$500 por cargueiro."
Uniao,A taxa é de 2o a 25 ° ao anno c as vezes mais.,"Trabalhador rural, seja colono ou camarada, 7oo a Soo réis diarios; administrador de fazenda, 480$000 a 600$000 annuaes; escrivaes de fazenda nao ha; carpinteiro, 2$000 a 3$000 diarios; as lavadeiras cobram por peca; nao ha cosinheiros. Os salarios sao pagos e os contractos cumpridos.","Qualidades-No municipio predominam as böas e regulares havendo poucas inferiores; algunas sao planas, outras montanhoass e seccas, existindo em grande quantidade argillosas e nisturadas e em pequena quantidade arenosas, pedregosas e pantanosas. A vegetacao é representada por algumas mattas virgens, cerrados, carrascaes e campos. Precos - Um hectare de terra böa custa 200$000, approximadamente.","Pagam 64 a 68 réis pelo transporte de.10.litros de cereaes para o mercado local ; e 94 réis por 1o kilos de assucar. O transporte feito por tropas, varia entre 1$000 e 3$000 a carga, conforme a distancia."
Vicosa,A taxa é de r8 por cento ao anno.,"Trabalhador rural, seja colono ou camarada, 7oo réis diarios; administrador de fazenda, 480$000 a 700$000 annuaes; escrivaes de fazenda nao ha; carpinteiro, 1$500 a 3$000 diarios, nao ha cozinheiras; as lavadeiras ganham por pecas. Os salarios sao pagos e os contractos cumpridos.","Qualidades-No municipio predominam as terras boas e regulares, havendo poucas inferiores; algumas montanhosas, outras planas e frescas; havendo em grande parte terras argillosas e mis- turadas; arenosas, pedregosas e pantanosas em pequena quantidade. A vegetacao é representada por mattas virgens, capoeiras, cerrados, carrascaes e campos. Precos--Um hectare de terra böa, em condicoes especiaes, custa 300$000, approximadamente. Entretanto ha precos bem inferiores.","Pagam pelo transporte para o mercado local 1o2 réis por 1o kilos de assucar e 78 réis por dez litros de cereaes. O transporte de 16o a 18o litros de qualquer mercadoria, feito por tropas, varia conforme a distancia, entre 8oo réis a 2$000."
Victoria,"Pagam 24° ao anno, no minimo.","Cozinheira, 8$000 mensaes; lavadeira, por peca; carpinteiro, 2$500 diarios; trabalhador rural, 1$000; nao ha escrivaes nem administradores de fazenda. Os salarios sao pagos e os contractos cumpridos.","Qualidades- Predominam as regulares, havendo boas e inferiores; ha mais misturadas do quc arenosas e argillosas; ha planas mcntanhosas e pedregosas. A vegetacao é representada por muitas capoeiras, cerrados e alguns carrascaes e canmpos. Precos-O hectare de terra boa,custa 40$000,mais ou menos.","O frete da estrada de ferro, para Macei6 é de 95o réis, por 1oo kilos."
