municipio,juros,salarios,terras,transporte
Beberibe,A taxa de 24% ao anno. e inonde.,"Trabaihador rural, 1$000 diarios,sen alimentacao; nao ha administradores nem escrivaes de fazenla; carpintciro, 3$000 diarios; lavadeira, 4$000 ncnsaes; cozinheira, 5$000 mensaes. Os salarios sao pagc's e os contractos cumpridos.","Qualidades-No municipio predouinam as terras inferiores,ha vendo, no emtanto, algumas boas; sao na maior parte arenosas, planas e seccas, encontrando-se raros trechos. pedregoscs c panta- nosos.A vegetacao predominante,sobretudo nos taboleiros, a de carrascaes,existindo tambem muitas capoeiras.Vide nota Precos-Uma braca de terra, na margem do rio, na direccao da corrente, comprehendendo uma faixa de terreno, cuja extensao, varia com a largura da vargem, custa de 10$000 a 40$000, approximadamente.","Cobram de transporte, para Fortaleza, capital lo Estado, em tropas,p.r litro ou kilo de cereaes, 27 réis,numa distancia de 13 leguas, e para Cascavel, 12 réis, nuna distancia de duas leguas, e para o mercado local 25 réis, n'una distancia de onze leguas."
Benjamin Constant,2% ao mez.,"Cozinheiro,10$000 mensaes;carpinteiro,4$000 por dia trabalha dor rural, 1$200; lavadeira, 2o réis por peca de roupa lavada. Nao ha escrivaes .nem administradores de fazenda. Os salarios sao pagos","Qualidades - As melhores terras do municipio sao as que consti tuem os valles formados pelos riachos do Mosquito e Joao Aives; as regulares, as que ficam nas proximidades dos riachos Santa Bar- bara, Bom Jesus, S. Jeronyno, Fazenda Nova, Olho d'Agua c rio Banabuiu e as inferiores,quasi todas as restantes. O sólo é muito montanhoso, quasi todo pedregoso e argilloso e sccco em toda a sua extensao.A vegetacao é representada por algunas matttas vir- gens, grande numero de capoeiras, alguns cerrados, carrascaes c campos. Precos - Um terreno tendo uma braca de frente por meia legua de fundos custa 1$500, mais ou menos.",Uma carga de 11o kilos paga 3$000 de transporte ferro viario.até Senador Pompeu.
Boa Viagem,Taxade 1./ao mez,"Carpinteiro, 4$000 por dia; trabalhador rural, 1$200; lavadeira, 2o réis por peca; nao ha adninistradores nem escrivaes de fazenda Os salarios sao pagos e os contractos cumpridos.","Qualidades-O sco, en geral, é montanhoso, muito argilloso e um tanto pedregoso,cm quasi toda a sua extensao. As terras das serras Olinda e Calogy sao muito boas; as das margens dos rios Boa Viagem, Ramadinha e Coiceicao, e dos riachos Capitao Mór, Santos Cosme, c Daniao sao regulares. Ha bastante terras inferio- res. As terras misturadas sao.cm grande numero, pois,. abrangem quasi todos os terrenos bons e regulares do municipio; as arenosas sao encontradas quasi, sónente, em alguns terrenos das ribeiras e dos logares agrestes. A vegetacao ê representada, cm grande parte, por capoeiras, muitos carrascaes c alguns cerrados; ha tam- bem muitos campos nos logares: Pombos, Salgado e Olho d'Agua, e algumas mattas, nas serras de Calogy e Olinda. Precos-Um terreno, tendo uma braca de frente, pcr meia legua de fundo, custa mais ou menos, 3$000.",".-Uma carga de 10o kilos,paga 3$000 de transporte para a estacao de Quixeramobim,da Estrada de Ferro de Baturite"
Brejo dos Santos,A taxade2ao mez.,".-Un trabalhador rural ganha 8oo réis a 1$200 diarios; nao. ha administradores nem escrivaes de fazendas; um .vaqueiro ganha 20 das crias; um carpinteiro, 3$000 diarios ; uma lavadeira, 2$000 mcnsaes; nao ha cozinheiros, sendo a cozinha feita pelas donas: de casa. Os salarios sac pagos e os contractos cunpridos.","superiores produz: 20 arrobas de algodao, 25 quartas de arroz, 40 a 50 quartas de farinha, 1o quartas de feijao e r6 arrobas de funo.","Uma cargade 100 kilos, paga 3$000 de transporte para a estação de Quixeramobim, da Estrada de Ferro de Baturité."
Cachoeira,A taxa é de r % a 21ao mez,"SYSTEMA de trabalho do pessoal agricola - A salario, meiacao e empreitada. SL.ARIOS- Trabalhador rural,1$500 diarios; coziuheiro,5$000 a 7$000 men- saes; lavadeiras*cobram 20 réis por peca ; capinteiro, 2$000 a 3$000 diarios;naohaadministradoresnenescrivaesdefazenda Os salarics sao pagos c os contractos cupridos.","Qualidades -- As terras do municipio sao no geral inferiores, cxce ptuando-se apenas as pequenas porcoes que nargea os riachos e as que constituem os valles. Ha grandes taboleiros seccos, aridos c imprestaveis para a agriculttra.Ha una cadeia de outeiros e collinas sem grande elevacao de cerca de dez leguas. As terras geralmente sao planas, principalnente nas partes léste e sul. No geral o solo pedregoso. Nao ha mattas virgens. As capoiras ficam nos terrenos mais ferteis.Os cerrados cccupan as bases das collinas e outeiros. Sao poucos os carrascaes. Quasi toda a area é occupada por campos. Precos-Os :terrenos seccos custam,una braca de frente por neia legua de fundo,de 2$000 a 3$000;os terreiios de acudes e varzeas sao muito caros.",Para o mercado local e para os outros o transporte custa de.dois a tres réis por litro e por legua
Camocim,Os agricultores nao fazem emprestimos.,"O trabalhad.r rural, seja colono ou camarada ganha 1$50s dia rios, a sécco, ou 8co réis livres con alimentacao. O. colono aqui e nacional. Uma cozinheira ganha 8$000 a 10$000 nensaes; as lavadeiras cobram por peca 4o réis; um carpinteiro ganha 3$000 a 4$000 diarics, a sécco; administradores c escrivaes de fazenda nao ha.Os salarios sao geralmente pagos e os contractos cumpridos.","Qualidades -- Sao boas nos baixios dos rios c lagoas, nas vasantes c nas margens dos ribeires e.riacltos. As terras rcgulares, que sao em grande quantidade,dao colheitas bem regulares. Tambem existem muitas terras inferiores. O terreno é ora argilloso ora arencso. Na quasi totalidade os terrenos sao planos, seccos pedregosos. Nao ha mattas c sao poucas as capoeiras. Os cerrados occupam grande area; existem carrascaes e campos. Precos-Una braca de frente, por meia legua de fundo, custa 1$000 a 2$000 mais ou menos.","Nao ha infcrnac&es seguras sobre o transporte para o mer cado local. Q transporte ferro-viario é regido por novas tarifas,nao conhecidas ainda no municipio.Para Belén no Pari,o frete do gado é: bxvino 20$000.por cabeca;muar,15$000;c caprino, 4$000, por cabeca. Havendo mais. de Ioo cabecas de gado a transportar, paga-se 45$000 por cabeca. Porco paga por cabeca 5$000 até o Para; uma capoeira de 1oo gallinhas ou de outros quaesquer gallinaceos paga 10$000."
Campo Grande,A taxa é de um e meio por cento ao mez.,SYSTEMA de trabalho.do pessoal agricola --Salariodiario e mensal c em- preitadas. larios .sao pagos e os contractos cumpridos.,"Qualidades- Ha terras boas na serra, regulares no sertao em grande parte, e poucas inferiores. Sao argillasas nas serras; arenosas no sertao e nos carrascaes. Misturadas ha em grande parte. Quasi todo o municipio é montanhoso e muito pedregoso. A vegetacao é represen- tada por mattas virgens,, muitas capoeiras, poucos cerrados, muitos carrascaes e muitos campos no sertao. Precos-Um hectare de terra custa, mais ou menos, na serra, 200$000 e no sertao,100$000.","Para o mercado local um alqueire de cereaes paga 1$000. Para a estacao de Santa Cruz, na Estrada de Ferro Sobral, uma carga paga 3$000."
Campos Salles,"A taxa e de 15 a 18 ""["" ao anno.","Trabalhador rural 500 réis a 1$500 diarios; itao ha administra dor nen cscrivao de fazenda; nao ha cozinheiros, sendo a cozinha carpinteiro, 2$500 a 3$000 diarios; os salarios sa pagos e os","Qualidades-Ha boas,inferiores e tambem regulares. Na maicr ha mais montanhosas do que planas; ha pedregosas e pantanosas. A vegetacao é representada por muitas capoeiras, poucas mattas virgeus c carrascaes; nao ha cerrados. Prccos-Um hectare de terra boa custa de 20$000 a 40$000, nais oumenos.","O 1itro de cereal paga 3 réis, conduzido em tropa, por legua de caminho."
Canindé,A taxa é de 1 /% a 2°[ao mez.,"Trabalhador rural, 1$200 diarios; nao ha administradores nem escrivaes de fazenda; carpinteiro, 3$000 diarios; cozinheira, 8$000 mensaes; as lavadeiras cobram 2o réis por peca. Os salarios sao pagos e os contractos cumpridos.","Qualidadaes -- As terras do municipio podem. ser, mais ou menos, assim divididas: boas, n'uma parte da serra do Machado, onde se cultiva manicoba,algodao e cereaes; além destas,ha as formadas pelas coroas ou ilhotas .dos rios Canindé c Curü, onde ha grande plantacao de fumo; regulares, na zona sertaneja, e que se prestam para o plantio do algodao e cereaes; inferiores, em grande parte do municipio. Sao argillosas na serra do Machado, Mariana, Serrinha, Branca, Verde. Jatoba e uma grande parte do sertao; arenosas,n'uma parte do sertao; misturadas,nas quebradas das serras e parte do sertao; planas, em boa parte do sertao; monta- nhosas, na serra do Machado, Jatoba, Serrinha, Mariana c Serrotes; pedregosas, em grande parte do sertao. A vegetacao.é representada por poucas mattas virgens na serra do Machado c por capoeiras em grande parte do municipio; ha muitos carrascaes; nao ha cerrados_nem campos. Precos-Um hectare de terra boa custa 200$000,mais ou menos.",O transporte de cereaes custa sete reis por litro.Paga-sc 6$000 pelo transporte de um alqueire de cercaes ou por setc arrobas de algodao.
Caridade,A taxacommumde2ao mez,"Trabalhador rural, 1$200 diarios; nao ha administradores nem escrivaes de fazenda; carpinteiro, 3$000 con comida; cozinheiro, uma. Os salarios sao pagos e os contractos cumpridos.","Qualidades - Boas nas margens dos rios Canindé e Batoque e de diversos riachos; regulares,nos sertoes; inferiores quasi que nos demais logares. Em sua maioria argillosas, montanhosas, pe dregosas e seccas. A vegetacao é representada por muitas capoeiras e carrascaes e poucos cerrados e campos. Precos - Vende-se uma braca de frente por meia legua de fundo, a 1$000,mais ou menos.","Para o imerqado, local um litro de cereal paga I5 réis. Cargas de 12o kilos, para serra de Baturité pagam 3$000; para Maranguape, 7$000; para Fortaleza, 8$000; pesando cada carga sempre 120 kilos."
Cascavel,A taxa é de 18 a 24% ao anno.,"Um trabalhador rural ganha $000 por dia,a sccconao ha adnministradores nem cscrivaes de fazenda; carpintciro, 3$000 diarios; cozinleiro, 5$000 mensacs; lavadeira lava por pcca Os salarios sao pagos. c os .contractos cumpridos.","Qualidades --- Existen no municipio terras boas, nas proximi dades dos rios; regulares, em pequena parte; inferiorcs,a naior parte. Ha poucas terras argillosas e fican entre os rios Chor6 e Pirangy; sao quasi .todas arenosas; ha poucas misturadas, nas margens dos rios Choro e Pirangy. A vegetacao é representada cerrados. Precos --O preco de um hectare de terra é muito variavel. 25 réis o litro, com percurso de: II leguas; para o mercado local, custa 25 réis, n'uma distancia de 1o leguas.","(©) transporte desta cidade para Fortaleza, em tropas, custa 25 réis o litro, com percurso de 11 leguas; para o mercado local, custa 25 réis, numa distancia de ro leguas. - NOTA: A séde, villa de Cascavel, está situada em terreno arenoso, 4 margem da estrada de rodagem que liga Fortaleza à Aracaty, a 72 kilometros desta e 4 12 da costa maritima. ""Seu commercio se faz principalmente com Aracaty e Fortaleza. Além da séde ha mais tres povoações: Pitombeiras, Bananeiras e Baixinhas. Suas"
Coité,A taxa é dei°ao mez.,"Um trabalhador rural ganha 1$000 diarics; um administrador de fazenda,400$000 a 500$000.annuaes;nao ha cscrivacs de fazenda; um carpinteiro, 4$000 diarios; una cozinheira, 6$000 mensaes; as lavadeiras cobram 2o réis.por peca de roupa lavada. Os salarios sac pagos e os contractos cumpridos.","Qualidades-O municipio na zona serrana mcde de Ncrte a Sul 15 kilometros e de Leste a Oeste 25; na zona sertaneja mede de Norte a Sul cinco 1cguas e de Leste a Oeste, oito. As terras podem ser mais cu. menos, assim divididas: Boas, cm Acarapé, Canara, Buracao, Boa Vista, Brejo Salgado, Jacaranda, Javary, S. José, Fiexeiras, Baixa Grande, Coite, Muco, Coco, Caipora, Sao Joao,etc.; todas cultivadas con cafe e na maioria de argilla roxa c muito permeaveis; Regulares, em grande parte, nas baixadas, que sao de massape,proprias para plantacaddecanna emandioca; inferiores, ha bastante,na serra e na maior parte da zona sertaneja. Sao argillosas em quasi toda a zona serrana c parte do scrtao; arenosas, na maior do sertao e pequena parte da serra; misturadlas em grande parte da serra e pouca do sertayplanas,cxistem muito poucas.Montanhosaem toda a parte.serrana e no sertao cono no Serrote do Gaviao,BoaVista, Vernelho, Barra,Roleados, Santa Cruz, Rapcsa, e $e111nha, Pedregosas, ua maior parte do Sertao, e pequena parte na serra. Em mattas virgeus ha talvcz uma decima parte do municipio. Em capoeiras grande parte do municipio Em cerrados pequena parte. Em carrascaes a maior parte da zona sertaneja.Nao ha campos. Precos-Um hectare.de terra boa custa de 250$000 a 300$000 mais oumenos.","O transporte de.cereaes custa 7 réis por litro,apprcxima damente. Como cargas para Raturite e Riachao paga1reis por litro."
Cratheus,Um e meio a dois por cento ao mez.,"Carpinteiro, 2$500 a 3$500 diarios; trabalhador rural, 1$000 cozinheira, 8$000.a 10$000 mensaes. Nao ha adninistradores nem escrivaes de fazenda.","Qualidades - Em sua maioria boas e regulares; sao argillosas c arenosas; pedregosas e onduladas.A vegetacao & representada por muitos carrascaes, algumas capoeiras e poucos.campos c.mattas virgens. Precos--Um hectare de terra boa custa de 30$000 a G0$000 nais ounenos.","Sao feitos por meio de tropas, cujos proprictarios cobram por litro ou kilo de cereal cerca de quatro a cinco réis de frete p:r cada legua de caninho."
Crato,De1 aao mez.,"Trabalhador rural de 500 réis a 2$000 diarios ; nao ha administra dores nem escrivaes de fazendacarpinteiro,3$500 por diacozi- nheiro nao ha; lavadeira de 5$000 a 8$000m0nsaes. Os salarios sao pagos e os contractos cumpridos.",c.12 mattas virgens c canpos. mais ou menos.,"O transporte & calculado em 3 réis o litro, por 1cgua de caminho,feito por tropas."
Entre-Rios,Nao ha prestamistas.,"Um trabalhador rural, adulto,ganha de 1$000 a. 1$500; um rapaz, de 500.a 80o.réis; um carpinteiro, de 2$500 a.3$000 por dia. Um cozinheiro,de 7$000.a10$000;.uma lavadeira,de 5$000 a 8$000 por mez. Nao ha administradores nem escrivaes de fazenda Os salarios sao pagos.e:os contractos cumpridos.","Qualidades -- Ha terras boas nas margens dos rios ; regulares, nas coroas ou ilhotas dos mesmos e inferiores, nos taboleiros. Em quasi todo o municipio as terras sao argillosas ou misturadas,encon- trando-se arenosas nas margens dos rios. Todo o municipio e geralmente plano. Ha pedregosas. A vegetacao é representada por pequena extensao de capoeiras, alguns cerrados e muitos carrascaes e campos.Nao ha mattas virgens. Precos-Um hectare de terra böa custa de 15$000 a 20$000, mais oumenos.",".Um litro de cereal paga de transporte, na média, de 25a 35reis."
Fortaleza,A taxa de 15 a 2oao anno.,"Um trabalhador rural ganha de 2$000 a 3$000 diarios; nao ha administradores nem escrivaes de fazenda carpinteiro,5$000 dia rios; cozinheiro,80$000 a 120$000 mensaes cozinheira,15$000 a 30$000 mensaes; as lavadeiras cobram por peca como sc segue: lenco,4o.réis;par de meias,4oréis;camisa de homcm,2ooréis; collarinho,200 réis; terno de brim,de 2$000 a 2$500,etc.","Qualidades --- No geral inferiores, havendo boas e regulares, prin cipalmente a nargem dos cursos d'agua. Existem muito poucas argillosas, porém, muitas arenosas e planas, poucas pantanosas. A.vegetacao é representada, em geral, por capociras e carrascaes. de muitas circumstancias locaes.","O transpcrte feito por tropas custa 22 réis por litro, approximadamente."
Granja,"Os commerciantes pagam 1 /2 a 2 ""j"" ao fucz.","Um trabalhador rural ganha de 18000 a 28000 diarios; uma cozinheira, 108000 mensaes; as lavadeiras, 20 réis, por peça; um carpinteiro, 48000 a sêcco e 28000, com alimentação, por dia,; administradores € escrivães de fazenda não ha, os que tomam conta do gado, chamados vaqueiros, percebem de cada quatro crias, uma, e parte do leite das vaceas, ou todo, conforme o contracto. Os","Qualidades--As terras em geral sao seccas e pedregosas, exce ptuando-se apenas as que estao junto aos cursos d'agua, onde sao böas para a cultura. Sao planas e ora argillosas e arenosas, ora misturadas. A vegetacao é representada pcr capoeiras, carras- caes, catingas e muitos campos. Precos -- Custa 1$000, mais ou menos, uma faixa de terra boa, tendo uma braca de frente por meia legua de fundo; entretanto ha excepcoes.","Para o mercado local pagam 2o a 25 réis, por litro e por legua; para Camacim pagan, segundo as tarifas da Estrada de Ferro de Sobral.(Vide a nota)."
Guarany,A taxa de 2% ao mez.,"Trabalhador rural, 50o réis'diarics; nao ha administralor nen esciivao de fazendacarpinteiro,4$000 diarioscozinhciro,nao tem ordenado fixo; lavadeira é paga. pcr peca de ioupa, a razao de aoreis cadatma,","Qualidades -Boas as de nassape preto, nas baixadas; regulares pedregosas nos pontos elevados e na Ribeira do Chororo ; misturadas pontos mais elevados. Nao ha nattas virgens, nen campos; existem algumas capoeiras e cerrados; sendo, porém, a maior parte do muni- cipio coberta de carrascaes. Precos -Um hectare de terra boa póde custar 500$000, preco exage- rado e ao Iado do qual ha muitos outros, bem mais inferiores.","Para o nercado local, um litro de cereaes, paga de 3 réis. Una carga de 12o kilos, paga 2$000 para o muni cipio dc Cascavel; 3$000, para os de Redempcao c Pacatuba, c 4$000pa1a o de Fortaleza."
