municipio,juros,salarios,terras,transporte
Linhares,Nao ha prestamistas.,"Trabalhador rural ganha 1$500 a 3$000 por dia. Nao ha administradores nem escrivaes de fazenda ; carpinteiro, de 3$500 a 5$000. Nao ha cozinheiras, geralmente a cozinha é feita pelas donas de casa; lavadeira, dc 5$000 a 10$000 por mez.","Qualidades --- Boas,nas margens dos rios S. José'e S. Gabriel e no valle do rio Döce ; regulares, em quasi todo o municipio ; inferiores, em alguns pontos; argillosas, nos valles dos rios; misturadas, no valle dorio Doce; planas, ao norte do mesmo rio ; montanhosas, a oéste do municipio ; seccas, ao sul e pan- tanosas, nos baixios e nalguns pontos do interior. A vegetagao é representada por muitas mattas-virgens, capoeiras, cerrados e campos ; nao ha carrascaes. Precos --- Um hectare de terra boa pertencente ao Estado custa de 2$ a 10$000 e a particular, 25$000 e mais.",Para a séde do municipio o transporte é feito pelos pro prios productores.
Nova Almeida,Nao ha emprestimos agricolas.,"Trabalhador rural, 2$000 diarios, a secco; nao ha administra dores nem escrivaes de fazenda; carpinteiro, 3$000 diarios;nao ha cozinheiros profissionaes; lavadeira cobra por peca de roupa. Os salarios sao pagos e os contractos cumpridos.","Qualidades---Ha bas, regulares e inferiores; argillosas, arenosas e misturadas; planas, nas depresses dos morros, nos valles dos rios, e littoral ; montanhosas e pedregosas ao oéste do municipio. Sao geralmente enxutas, havendo poucos pantanos. A vegetacao é representada por matas-virgens, muitas capoeiras, cerrados e campos taturaes. Precos --- Ao Estado compra-se por 5$000 o hectare; aosparti- culares,por 10$000.",Sao feitos pelos proprios agricultores.
Pao Gigante,A taxaéregular.,"Um trabalhador rural ganha 15300 diarios, com alimentação. Não ha escrivães nem administradores de fazenda ; carpinteiro, 58000 a 78000 por dia; não ha cozinheiros; lavadeira, 108000 a 159000 mensaes. Os","Qualidades - Ha terras böas principalmente nos valles dos 1ios e nas depresses dos morros; regulares, nos terrenos ligeiramente accidentados; tambem ha inferiores. A vegetacao é representada por mattas virgens, capoeiras e cerrados. Precos - Um hectare de terra do Estado custa de 2$000 a 10$000 e de particular,30$000.",Para o mercado local o transporte é feito pelos proprios productores.
Piuma,Nao ha prestamistas.,"Trabalhador rural ganha de 1$500 a 2$000 por dia, com coimida. Nao ha administradores nem escrivaes de fazenda ; carpinteiro, 4$000 a 6$000 diarios; cozinheiro, 25$000 a 30$000 mensaes ; lavadeira, a razao de 40 réis por peca. Os salarios sao pagos e os contractos cumpridos.","Qualidades --- As terras do municipio podem sér mais ou menos, assim divididas: Boas, em Iconho, Duas Barras, Inhauma, Conego Pecilio, Tocaya, etc.; regulares, em Itapuana, Canudos, Corregos, Campinho, Laguardia, Nova Estrella, Venezuella, etc.; inferiores, em Piüma, Taquaral, Tatahyba, Imbetiba, e quasi todo o littoral, etc. Argillosas, em Rodeio, Taquaral, Imbetiba, Tatahyba .e em alguns pontos dos valies; arenosas, em Orob6, Iriry, Tatahyba e Piüma ; misturadas, esparsas em todo o municipio ; planas, em Piúma, e pequenos planaltos, junto ao littoral. Montanhosas e pedregosas a partir do rio Icouha e do logar denominado Laranjeiras, a encontrar os municipios visinhos. Pantanosas em Orobó, Marica, Imbetiba e Itinga, em Iconho, Jacaratia, Itapuana, Monte Bello, Vene- zuella, Virginia, etc. Capoeiras e cerrados em todo o littoral e outros pontos do municipio. Nao ha carrascaes. Campos em Orob6 e Marica. Precos - Um hectare de terra boa pertencente ao Estado custa de 2$000 a 10$000 ; a particulares, de 80$000 a 100$000.","De Icouha a Piüma paga-se por kilogramma 20 réis, sendo o transporte feito por canoas; de Piúma a Capital, paga-se 10o réis por kilogramma."
Ponte do Itabapoana,Taxa de 12 % ao anno.,"Trabalhador rural ganha de 2$000 a 2$500 por dia; adminis tradores de fazenda, 100$000.por mez; nao ha escrivao de fazenda; carpinteiro 5$000 diarios;cozinheiro 25$000 mensaes; lavadeira 15$000 mensaes. Os salarios sao pagos e os contractos","Qualidades - As terras do municipio podem ser assim divididas: geralmente bas excepto em certas zonas da margem do rio Itabapoana, que sao um tanto séccas e pedregosas porém nao propriamente inferiores. Em todo o municipio encontra-se terrenos argillosos e misturados. Ha grande quantidade de terrenos planos, sendo montanhosa a parte que confina com o municipio de Sao Pedro. Sao pantanosas nas margens do rio Muquy. Existem mattas virgens em pequena quantidade. Precos - O hectare de terra varia de 2$000 a 10$000, conforme a situacao.","O transporte regula ser de 10 a 30 réis por kilogramma, conforme a distancia."
Riacho,Nao ha prestamistas.,"Trabalhador rural, 2$000 diarios; nao ha administradores nem escrivaes de fazenda; carpinteiro, de 4$000 a 5$000 diarios; nao ha lavadeiras nem cozinheiras, as donas de casa fazem o servigo domestico. Os salarios sao pagos e os.contractos","Qualidades - O municipio possue terras bas, regulares e inferio, res. A vegetagao natural consta de mattas virgens, capoeiras- cerrados e campos ; nao ha carrascaes. Precos - O hectare de terra, pertencente ao Estado custa de 2$000 a 10$000; a particulares,10$000 a 20$000.",O transporte‘ feito. pelos proprios productores em ani maes de sua propriedade.
Rio Novo,"A taxa de a 1 °,ao mez.","Trabalhador rural gauha 2$000 a 2$500 diarios ; nao ha adminis tradores nem escrivaes de fazenda; carpinteiro 3$000 a 4$000 diarios; cozinheiro, 30$000 meusaes; lavadeira, 10$000 mensaes. Os salarios sao pagos e os contratos cunipridos.","Qualidades -Bas em S. Caetano, S. Beuto, Cachoeirinha, Concordia, Carolina e Venezuela; regulares em Capim Angola, Virginia Nova, S. José e Pau d'Alho ; inferiores, em Espirito Santo, Santa Maria e Hazinho. Ha argillosas em Cachoeirinha, Concordia, S. José e Pau d'Alho.; sao arenosas nas proximi- dades dos campos de Piabanha ; nos terrenos argilosos ha algumas terras misturadas ; sao planas em Pao d'Alho e nas divisas de Itapemirim, sendo as restantes montanhosas ; pedre- gosas no logar conhecido por Frade; s&ccas nas divisas de Itapemirim ; pantanosas em alguns logares, principalmente em Pau d'Alho e S. José. Sua vegetacao é representada pelas Mattas de S. Caetano, Concordia e S. Bento ; pelas capoeiras existentes nas fazendas abandonadas; e campos naturaes e artificiaes. Precos --- O preqo varia segundo as circumstancias.",Varia muito o trauporte ao mercado 1ocal; o frete fluvial a Barra do Itapemirim é de 15 a 20 réis por kilo.
Rio Pardo,"Taxa de 9 a 12 % ao anno. jequitiba, etc.","Trabalhador rural ganha de 1$000 a 2$500, conforme o scrvico; uao ha administradores nem escrivacs de fazenda; carpinteiro, 3$000 a 5$000 por dia; cozinheiro,15$000 a 25$000 por mez; lavadeira,10$000 a 15$000 por mez. Os salarios sao pagcs e os contractos cumpridos.","Qualidades--- Todo o municipio tem terrenos para todas as culturas; nos 1ugarcs denomiuados Santa Cruz e Principe as sao proprios unicamcnte para cereacs, uvas e outras fructas européas, e para campos de criagao. Ha terras. argil- losas, c arcnosas; sendo, porém, misturadas na maior parte. Existe uma partc plana,em Sao Sebastiao do Occidente, sendo as restautes montanhosas e um pouco pedregosas. Ha grandes extenses de mattas virgens em todo o municipio, principalmente em Sio Domingos, Bou Jardim c Occidente. Nao ha cerrados uem carrascacs; existem campos artificiacs em algumas pro- priedades. Precos--- O hectare de terra varia dc 2$000 a 10$000 conforme o logar.","O.trausporte de cereaes rcgula ser 50 a 100 réis por kiiogramma,conforme adistancia."
Santa Cruz,Nao ha emprestimos a 1avoura.,"Trabalhador rural, 13000 diarios, com alimentação ; carpinteiro, 45000 diarios ; cozinheiro, 108000 a 153000 mensaes ; lavadeira, 40 réis por peça; não ha administradores nem escrivães de fazendas; os","AGRICULTORES-Condices cconomicas -Pouco lisongeiras. A maior queixa -Os agricultores queixam-se das irregularidsde: X Os criadores queixam-so das pastagens ruins, do carbunculo e da gosma, que muito prejudica os gallinaceos. Estraugeiros-Nao ha. e pequenas lagoas permanentes. ARVOREs fructiferas -Laranjeiras, pecegueiros, etc. Todas. dao bons fructos. ALIMENTACAO da populacao - Carne, peixes, cereaes e farinha de man- dioca. CAMPOS e pastos--Nao ha campos naturaes. Nos artificiaes ha capim pernambuco, graminha, espiga, colonia e jaguaré. COLHEITAS-Sao beneficiadas por processos rotineiros. Por falta de dados éignorado o quantum das colheitas de 19o9 e1910. CULTURAS-Em pequena escala; café,canna;milho,arroz,feijao,man dioca e batata doce ; o arroz e batata doce, occupam pequenas areas. CEREAES, etc. - Nao é conhecido o custo da produccao; precos de venda : milho 80 réis o litro,feijao 150réis,arroz com casca 100 réis Sao mercados compradores : o local e da Capital. Nao ha fciras CANNA de assucar -Seus productos : 1 kilo de assucar custa 400 réis; nao ha rapaduras ; um litro de aguardente, 600 réis. COOPERATIVAS-Nao ha. CALOR e frio - O calor comeca em Novembro e o frio em Maio. CHUVAS- Comecam de Marco e vao a Setembro e Outubro. CONDICoES de saude da populacao - Ha muita gente pallida. CONTABILIDADE--Nao ha. CRIACAO do municipio- Bovidcos, equideos, suideos e ovideos. Sao cm maior numero as de bovideos e suideos. Todas pouco dcsenvol- vidas. X De bovideos-Communs,degenerados. X De equideos--Communs,degenerados. X De suideos-Communs,degenerados. ? De ovideos --- Communs, degenerados. X Productos- Crias e queijos. CRIACAO - Custo &os animaes - Um cavallo de sella custa de 150$000 a 180$000 ; de carga, de 100$000 a 150$000;burro de sella, de 250$000 a 300$000: de carga,de 150$000 a 200$000 ; nao ha animal de arado ; boi carreiro, 80$000 c mais; boi de corte a 8$000 e 16$000 por arroba; touro, 80$000 a 100$000 ; vacca 1eiteira, 60$000 a 100$000 ; litro de leite, 300 réis. Carnes c toucinho-Um kilo de carne de vacca custa 700réis, de carneiro 1$000, e de porco 800 réis, de toucinho 1$000. Manteiga e queijo - Nao ha manteiga ; 1 kilo de queijo, custa 400réis. Aves - Uma gallinha custa 1$000 e uma duzia de ovos, 500 réis. Molestias - Carbunculo symptomatico e batedeira nos porcos ; cho- C iera, verruga e gosma nos gallinaceos. CUSTO dos tecidos -De 400 réis a 5$000 o metro. ESTRADAS e pontes - Pessimas estradas e diversas pontes em bom estado. EXPORTACAO e importacao - Exporta : café, milho, feijao, farinha, ma- deiras cerradas, remos e gamellas. Importa : tecidos, ferra- gens, chapéos, bebidas, louga, fumo, sal, carne, armarinho, phosphoros,etc. ESCOLAS-Ha escolas primarias. FABRICAS - Pequenos engenhos para aguardente e assucar. FARINHA de madioca e feijao -Um litro de farinha custa 80réis,de feijao 150 réis. HYPOTHECAS-Hapoucas. HABITACOES - Em geral,descuradas. INSTRUMENTOS agrarios - Enxadas, foices, machados, cavadeiras, fa- coes,_etc. JUROS -- Nao ha emprestimos a lavoura. MINAS-Haareias.monaziticas. lustres. E pragas das plantas cultivadas - As saüvas, que devastam as culturas, excepto nos logares onde ha cuyabanas, defendeudo-as. NUCLEOS coloniaes - Ha colonias de nacionaes. littoral, vivendo da pesca. PADROES de terras boas - Guararema ou pao d'alho, figueira-branca, corindyba, jequitiba, sapucaia, etc. De terras inferiores Joa, columby, matta, angico, faveiro, pal- tfeiras,etc. PORTOS--HaodeSauta Cruz. SEMENTES-Nao ha cscolha. Abril,Setembro e Outubro. teiro, 4$000 diarios ; cozinheiro, 10$000 a 15$000 imensaes; lavadeira, 40 réis por peca ; nao ha administradores nem escri- vaes de fazendas ; os salarios sao pagos e os contractos cum- pridos. regulares em Sauassu, Cachoeira, Baliiacü, Lage, etc. etc., in- feriores em quasi todo o littoral ; ha argilosas, silicosas e mistu- radas ; ha planas, montanhosas e pedregosas ; seccas e panta- nosas. Ha mattas, capoeiras, cerrados e campos. Precos - Um hectare de terra boa custa de 25$000 a 50$000.","O transporte de cereaes, para o mercado local de 300 reis por sacco de 80 litros; e para fóra, de 600 a S00 réis."
Santa Izabel,A taxa é de 8 a 12 % ao anno.,"Trabalhador rural,2$000 com comida; nao ha administradores nem escrivaes de fazenda; carpinteiros, de 3$000 a 6$000 diarios; nao ha cozinheiras nem lavadeiras; as donas de casa fazem os ser- vicos domesticos. Ossalarios saopagos e os contractos cumpridos.","Qualidades -Na.maioria, as terras do municipio sao argillo silicosas, variando a cor, ora avermelhada, e amarellada, ora esbranquicada; nos valles e fraldas dos montes sao consideradas melhores;podendo ser divididas,na sua generalidade,do seguinte modo : - Boas : em Pau d'Alho, Tres Barras, Ribeirao de Sao Vicente e Beriricas; regulares : no Ribeirao dos Barcellos, Mel- gago, Melgacinho, Lagoiuha, Rio Fuudo, etc.; inferiores e arenosas em sua maioria, em Pernambuco, Tijuco Preto c Areinha. Em todo o municipio ha terras .misturadas. Todo o municipio é montanhoso, excepto o Planuro dos Bar- cellos, que é geralmente pedregoso. Ha terras seccas em muitos logares; nao ha pantanosas. A vegetagao é representada por mattas virgens em Alto Juca, Victor Hugo, Barcellos, Tijuco Preto, etc.; capoeiras e cerrados em diversos pontos; nao ha carrascaes.nem campos. Preco -0 hectare de terra pertencente ao Estado custa de 2$000 a 10$000; de particulares, conforme o ajuste e bemfeitorias. TO e muito penoso das tropas de burros, atravez longas e fortes ladeiras, havendo urgencia de bons meios de viacao. O muni- Estado, ja por sua colonisagao, japor sua produceao agricola.",
Santa Leopoldina,Nao 1a emprestimos.,"Carpinteiros, 5$000 a 7$000 diarios; cozinheiro, 30$000 mensaes; lavadeira, 20$000 a 40$000 mensaes. Os salarios sao pagos e os contractos cumpridos.","Qualidades - As terras do municipio podem ser assim divididas boas, no valle de Santa Maria c baixadas dos morros; inferiores, na maior parte; argillosas, no valle do rio Santa Maria; arenosas no caninho de Santa Thereza; misturadas, en quasi todo o mu- nicipio; pantanosas cm alguns pontos do rio Santa Maria; monta- nhosas quasi todas; seccas na maior parte. Ha mattas virgens no alto de Santa Maria, Caninho do Guandi, Caminho de Santa The reza c outros pontos; cm capoeiras a parte baixa do municipio; nao ha ccrrados, carrascaes nem capos. Prccos -- Um hectarc de terra do Estado custa de 2$000 a 10$000; de particularcs, de 20$000 a mais.","Os transportes para o mercado local sao feitos pelos pro prios productores. Pclo porto de Cachoeira, um sacco de qualquer producto agricola até.Victoria, capital do Estado, paga 1$000. O custo do transporte por tropas depende de ajuste prévio."
